rank,callable,nativr_available,packages,source_packages,occurrences,package_reach_percent,download_weighted_reach_percent
274,rt,true,1,ggplot2,1,1.0,1.7
275,emptyenv,true,1,R6,2,1.0,1.7
276,as.list.environment,true,1,R6,1,1.0,1.7
277,debug,false,1,R6,1,1.0,1.7
278,list2env,true,1,R6,1,1.0,1.7
279,undebug,false,1,R6,1,1.0,1.7
280,capabilities,true,2,htmltools|data.table,4,2.1,1.7
281,pdf,false,2,knitr|data.table,2,2.1,1.7
282,exists,true,2,knitr|shiny,3,2.1,1.6
283,RNGkind,true,1,withr,6,1.0,1.6
284,sample.int,true,1,withr,2,1.0,1.6
285,Sys.localeconv,true,1,withr,2,1.0,1.6
286,attributes,true,1,withr,1,1.0,1.6
287,file.create,false,1,withr,1,1.0,1.6
288,file.size,false,1,withr,1,1.0,1.6
289,kappa,true,1,RcppEigen,1,1.0,1.6
290,model.matrix,true,1,RcppEigen,1,1.0,1.6
291,xtabs,true,1,RcppEigen,1,1.0,1.6
292,ts.plot,false,1,magrittr,1,1.0,1.6
293,Sys.which,false,2,knitr|sys,2,2.1,1.6
294,tan,true,2,testthat|data.table,2,2.1,1.5
295,diag,true,1,tibble,3,1.0,1.5
296,make.names,true,1,tibble,1,1.0,1.5
297,start,true,2,crayon|zoo,9,2.1,1.5
298,NextMethod,true,1,pillar,3,1.0,1.5
299,as.roman,true,1,pillar,1,1.0,1.5
300,as.POSIXlt,true,2,testthat|zoo,3,2.1,1.4
301,rasterImage,true,2,systemfonts|httr,2,2.1,1.4
302,weights,true,2,loo|posterior,22,2.1,1.4
303,rbinom,true,2,loo|posterior,2,2.1,1.4
304,is.data.frame,true,2,data.table|shiny,2,2.1,1.4
305,nzchar,true,2,data.table|shiny,2,2.1,1.4
306,sd,true,1,dplyr,3,1.0,1.4
307,colours,true,1,scales,1,1.0,1.4
308,outer,true,1,scales,1,1.0,1.4
309,density,true,2,posterior|distributional,94,2.1,1.4
310,grep,true,2,data.table|diffobj,3,2.1,1.3
311,download.file,false,1,jsonlite,1,1.0,1.3
312,eigen,true,1,jsonlite,1,1.0,1.3
313,pipe,false,1,jsonlite,1,1.0,1.3
314,unz,false,1,jsonlite,1,1.0,1.3
315,apply,true,2,matrixStats|bit64,5,2.1,1.3
316,colSums,true,2,loo|zoo,3,2.1,1.3
317,time,true,2,data.table|zoo,43,2.1,1.3
318,na.omit,true,2,data.table|zoo,9,2.1,1.3
319,ceiling,true,2,data.table|zoo,4,2.1,1.3
320,read.table,true,2,data.table|zoo,3,2.1,1.3
321,approx,true,2,data.table|zoo,2,2.1,1.3
322,mapply,true,2,data.table|zoo,2,2.1,1.3
323,as.double,true,2,data.table|bit64,7,2.1,1.3
324,object.size,false,2,data.table|bit64,3,2.1,1.3
325,dput,true,2,data.table|bit64,2,2.1,1.3
326,setGeneric,true,1,S7,1,1.0,1.3
327,standardGeneric,true,1,S7,1,1.0,1.3
328,title,false,2,shiny|bit64,7,2.1,1.3
329,colorRampPalette,true,1,isoband,2,1.0,1.3
330,sink,false,1,utf8,2,1.0,1.2
331,sessionInfo,true,1,otel,1,1.0,1.2
332,as.array,true,1,rstan,4,1.0,1.2
333,is.array,true,1,rstan,1,1.0,1.2
334,nlm,true,1,rstan,1,1.0,1.2
335,optim,true,1,rstan,1,1.0,1.2
336,pairs,true,1,rstan,1,1.0,1.2
337,heat.colors,true,1,farver,1,1.0,1.2
338,write,false,1,sass,1,1.0,1.2
339,readBin,true,1,curl,2,1.0,1.2
340,available.packages,false,1,curl,1,1.0,1.2
341,open,true,1,curl,1,1.0,1.2
342,stderr,false,1,curl,1,1.0,1.2
343,barplot,false,2,zoo|bit64,3,2.1,1.2
344,devAskNewPage,false,1,RColorBrewer,10,1.0,1.1
345,getLoadedDLLs,false,1,ps,1,1.0,1.1
346,socketConnection,false,1,ps,1,1.0,1.1
347,factorial,true,1,xfun,1,1.0,1.1
348,file.copy,false,1,xfun,1,1.0,1.1
349,find.package,false,1,xfun,1,1.0,1.1
350,is.factor,true,1,xfun,1,1.0,1.1
351,l10n_info,false,1,xfun,1,1.0,1.1
352,lsfit,true,1,xfun,1,1.0,1.1
353,shQuote,false,1,xfun,1,1.0,1.1
354,strwrap,true,1,xfun,1,1.0,1.1
355,suppressMessages,true,1,xfun,1,1.0,1.1
356,Sys.unsetenv,false,1,xfun,1,1.0,1.1
357,system2,false,1,xfun,1,1.0,1.1
358,.Call,false,1,digest,1,1.0,1.0
359,col2rgb,true,1,stringr,1,1.0,1.0
360,colors,true,1,stringr,1,1.0,1.0
361,simplify2array,true,1,stringi,2,1.0,1.0
362,setwd,true,1,knitr,3,1.0,1.0
363,aspell,false,1,knitr,2,1.0,1.0
364,abline,false,1,knitr,1,1.0,1.0
365,browseVignettes,false,1,knitr,1,1.0,1.0
366,dev.control,false,1,knitr,1,1.0,1.0
367,lengths,true,1,evaluate,2,1.0,0.9
368,getFromNamespace,false,1,backports,37,1.0,0.9
369,URLdecode,true,1,backports,1,1.0,0.9
370,help,false,1,pkgload,15,1.0,0.9
371,as.environment,true,1,checkmate,1,1.0,0.8
372,qbinom,true,1,openssl,1,1.0,0.7
373,qnorm,true,1,openssl,1,1.0,0.7
374,rawToBits,true,1,openssl,1,1.0,0.7
375,rowMeans,true,1,matrixStats,8,1.0,0.7
376,colMeans,true,1,matrixStats,7,1.0,0.7
377,weighted.mean,true,1,matrixStats,6,1.0,0.7
378,drop,true,1,matrixStats,4,1.0,0.7
379,mad,true,1,matrixStats,2,1.0,0.7
380,curve,false,1,numDeriv,1,1.0,0.7
381,plot.window,true,1,systemfonts,1,1.0,0.7
382,rbeta,true,1,loo,2,1.0,0.7
383,dbinom,true,1,loo,1,1.0,0.7
384,mat.or.vec,true,1,loo,1,1.0,0.7
385,droplevels,true,1,data.table,4,1.0,0.7
386,seq.int,true,1,data.table,3,1.0,0.7
387,as,true,1,data.table,2,1.0,0.7
388,as.name,true,1,data.table,2,1.0,0.7
389,is.list,true,1,data.table,2,1.0,0.7
390,readRDS,true,1,data.table,2,1.0,0.7
391,saveRDS,true,1,data.table,2,1.0,0.7
392,tracemem,false,1,data.table,2,1.0,0.7
393,weekdays,true,1,data.table,2,1.0,0.7
394,write.table,true,1,data.table,2,1.0,0.7
395,anyDuplicated,true,1,data.table,1,1.0,0.7
396,Im,true,1,data.table,1,1.0,0.7
397,new,true,1,data.table,1,1.0,0.7
398,Re,true,1,data.table,1,1.0,0.7
399,rep.int,true,1,data.table,1,1.0,0.7
400,representation,true,1,data.table,1,1.0,0.7
401,trunc,true,1,data.table,1,1.0,0.7
402,type.convert,true,1,data.table,1,1.0,0.7
403,update.packages,false,1,data.table,1,1.0,0.7
404,get,true,1,shiny,7,1.0,0.7
405,withVisible,true,1,shiny,2,1.0,0.7
406,df,false,1,shiny,1,1.0,0.7
407,dist,false,1,shiny,1,1.0,0.7
408,normalizePath,true,1,shiny,1,1.0,0.7
409,simulate,false,1,shiny,1,1.0,0.7
410,strftime,true,1,shiny,1,1.0,0.7
411,as.raster,true,1,ragg,1,1.0,0.7
412,dev.flush,true,1,ragg,1,1.0,0.7
413,replayPlot,true,1,ragg,1,1.0,0.7
414,ppoints,true,1,posterior,2,1.0,0.7
415,chol,true,1,posterior,1,1.0,0.7
416,pnorm,true,1,posterior,1,1.0,0.7
417,rgamma,true,1,posterior,1,1.0,0.7
418,segments,true,1,posterior,1,1.0,0.7
419,glob2rx,true,1,rprojroot,1,1.0,0.7
420,sQuote,true,1,httr,2,1.0,0.7
421,family,true,1,distributional,1,1.0,0.7
422,View,true,1,rstudioapi,1,1.0,0.7
423,setMethod,true,1,diffobj,2,1.0,0.6
424,path.expand,true,1,diffobj,1,1.0,0.6
425,setOldClass,true,1,diffobj,1,1.0,0.6
426,show,true,1,diffobj,1,1.0,0.6
427,capture.output,true,1,httpuv,1,1.0,0.6
428,demo,true,1,httpuv,1,1.0,0.6
429,RNGversion,true,1,zoo,17,1.0,0.6
430,window,true,1,zoo,14,1.0,0.6
431,lag,true,1,zoo,13,1.0,0.6
432,as.ts,true,1,zoo,7,1.0,0.6
433,end,true,1,zoo,7,1.0,0.6
434,frequency,true,1,zoo,6,1.0,0.6
435,ts,true,1,zoo,5,1.0,0.6
436,legend,true,1,zoo,3,1.0,0.6
437,comment,true,1,zoo,2,1.0,0.6
438,cycle,true,1,zoo,2,1.0,0.6
439,intersect,true,1,zoo,2,1.0,0.6
440,signif,true,1,zoo,2,1.0,0.6
441,axTicks,true,1,zoo,1,1.0,0.6
442,box,true,1,zoo,1,1.0,0.6
443,boxplot,true,1,zoo,1,1.0,0.6
444,deltat,true,1,zoo,1,1.0,0.6
445,embed,true,1,zoo,1,1.0,0.6
446,findInterval,true,1,zoo,1,1.0,0.6
447,gray.colors,true,1,zoo,1,1.0,0.6
448,grey,true,1,zoo,1,1.0,0.6
449,ISOdatetime,true,1,zoo,1,1.0,0.6
450,persp,true,1,zoo,1,1.0,0.6
451,points,true,1,zoo,1,1.0,0.6
452,polygon,true,1,zoo,1,1.0,0.6
453,replace,true,1,zoo,1,1.0,0.6
454,rlnorm,true,1,zoo,1,1.0,0.6
455,tapply,true,1,zoo,1,1.0,0.6
456,text,true,1,zoo,1,1.0,0.6
457,update,true,1,zoo,1,1.0,0.6
458,matplot,true,1,bit64,6,1.0,0.6
459,is.atomic,true,1,bit64,2,1.0,0.6
460,var,true,1,bit64,2,1.0,0.6
461,aperm,true,1,bit64,1,1.0,0.6
462,dget,true,1,bit64,1,1.0,0.6
463,is.integer,true,1,bit64,1,1.0,0.6
464,is.numeric,true,1,bit64,1,1.0,0.6
465,load,true,1,bit64,1,1.0,0.6
466,save,true,1,bit64,1,1.0,0.6
