rank,callable,nativr_available,packages,source_packages,occurrences,package_reach_percent,download_weighted_reach_percent
23,seq,true,16,rlang|vctrs|ggplot2|magrittr|tibble|dplyr|scales|xfun|digest|gridExtra|matrixStats|data.table|posterior|distributional|zoo|bit64,115,16.5,18.7
24,factor,true,15,rlang|vctrs|ggplot2|pillar|dplyr|scales|isoband|stringr|tidyr|stringi|backports|testthat|checkmate|data.table|posterior,149,15.5,18.1
25,unlink,true,17,ggplot2|withr|cpp11|dplyr|jsonlite|rstan|curl|ps|xfun|htmltools|knitr|testthat|openssl|data.table|diffobj|brio|bit64,45,17.5,18.0
26,nrow,true,16,vctrs|ggplot2|RcppEigen|pillar|dplyr|jsonlite|isoband|curl|purrr|matrixStats|textshaping|systemfonts|data.table|shiny|zoo|bit64,52,16.5,17.6
27,system.file,true,17,ggplot2|fs|bslib|rstan|sass|curl|StanHeaders|xfun|desc|knitr|base64enc|openssl|systemfonts|shiny|httr|xml2|httpuv,51,17.5,17.1
28,character,true,14,rlang|cli|vctrs|pillar|ps|purrr|xfun|stringr|stringi|crayon|backports|testthat|data.table|shiny,22,14.4,16.7
29,require,true,15,vctrs|ggplot2|glue|cpp11|scales|bslib|rstan|curl|knitr|base64enc|data.table|posterior|promises|zoo|bit64,49,15.5,16.7
30,as.character,true,15,rlang|ggplot2|pillar|dplyr|utf8|rmarkdown|xfun|digest|htmltools|openssl|data.table|shiny|xml2|diffobj|bit64,43,15.5,16.2
31,sum,true,14,rlang|vctrs|ggplot2|fs|dplyr|S7|StanHeaders|purrr|matrixStats|numDeriv|loo|data.table|zoo|bit64,82,14.4,16.2
32,identical,true,17,rlang|withr|jsonlite|rstan|xfun|digest|base64enc|checkmate|openssl|matrixStats|loo|data.table|shiny|diffobj|httpuv|brio|bit64,155,17.5,16.1
33,message,true,14,rlang|Rcpp|withr|magrittr|jsonlite|purrr|xfun|evaluate|backports|testthat|shiny|rstudioapi|promises|bit64,100,14.4,15.8
34,Sys.sleep,true,16,cli|S7|bslib|rmarkdown|callr|processx|purrr|xfun|memoise|data.table|shiny|httr|rstudioapi|sys|later|promises,47,16.5,15.6
35,lm,true,12,rlang|ggplot2|RcppEigen|tibble|dplyr|purrr|xfun|tidyr|knitr|data.table|diffobj|zoo,28,12.4,14.4
36,as.Date,true,11,vctrs|ggplot2|glue|withr|pillar|dplyr|scales|stringr|tidyr|data.table|shiny,33,11.3,14.4
37,options,true,12,rlang|cli|tibble|pillar|scales|jsonlite|xfun|matrixStats|data.table|shiny|diffobj|bit64,53,12.4,14.2
38,colnames,true,12,rlang|vctrs|glue|tibble|jsonlite|gtable|checkmate|matrixStats|data.table|posterior|zoo|bit64,42,12.4,14.0
39,set.seed,true,13,vctrs|ggplot2|RcppEigen|dplyr|jsonlite|purrr|testthat|matrixStats|loo|data.table|posterior|httpuv|zoo,89,13.4,13.8
40,structure,true,12,rlang|cli|vctrs|pillar|purrr|xfun|knitr|data.table|xml2|waldo|zoo|bit64,24,12.4,13.7
41,as.list,true,13,rlang|tibble|pillar|StanHeaders|purrr|stringi|mime|pkgload|checkmate|openssl|data.table|httpuv|zoo,29,13.4,13.7
42,Sys.time,true,12,vctrs|withr|fs|pillar|S7|rmarkdown|stringi|yaml|testthat|shiny|httr|promises,32,12.4,13.6
43,summary,true,12,rlang|ggplot2|RcppEigen|dplyr|bslib|rstan|xfun|matrixStats|shiny|diffobj|later|bit64,17,12.4,13.6
44,seq_along,true,12,rlang|vctrs|R6|dplyr|purrr|digest|stringi|matrixStats|data.table|posterior|zoo|bit64,28,12.4,13.5
45,format,true,11,cli|ggplot2|withr|magrittr|pillar|xfun|yaml|data.table|posterior|rstudioapi|zoo,31,11.3,12.9
46,stopifnot,true,14,withr|pillar|jsonlite|xfun|digest|base64enc|openssl|matrixStats|loo|data.table|shiny|httpuv|promises|bit64,125,14.4,12.8
47,return,true,10,rlang|Rcpp|ggplot2|R6|bslib|purrr|knitr|testthat|shiny|promises,28,10.3,12.8
48,R.home,true,12,rlang|fs|curl|xfun|digest|stringr|knitr|backports|tinytex|checkmate|readxl|brio,23,12.4,12.7
49,mean,true,11,rlang|ggplot2|magrittr|dplyr|purrr|tidyr|matrixStats|data.table|posterior|distributional|zoo,113,11.3,12.3
50,invisible,true,10,rlang|lifecycle|R6|magrittr|utf8|testthat|data.table|shiny|httr|promises,19,10.3,12.1
51,interactive,true,11,cli|cpp11|bslib|sass|purrr|xfun|htmltools|knitr|fontawesome|data.table|shiny,107,11.3,12.1
52,writeLines,true,10,rlang|withr|cpp11|pillar|sass|xfun|knitr|testthat|sys|diffobj,30,10.3,12.1
53,rbind,true,12,ggplot2|magrittr|gtable|rstan|StanHeaders|stringr|matrixStats|data.table|posterior|distributional|zoo|bit64,18,12.4,11.9
54,max,true,10,vctrs|ggplot2|magrittr|pillar|dplyr|labeling|htmlwidgets|numDeriv|data.table|zoo,30,10.3,11.9
55,as.integer,true,10,rlang|cpp11|pillar|dplyr|jsonlite|digest|yaml|checkmate|data.table|bit64,23,10.3,11.9
56,cbind,true,12,ggplot2|RcppEigen|tibble|gtable|abind|matrixStats|numDeriv|loo|posterior|distributional|zoo|bit64,63,12.4,11.6
57,stop,true,11,cli|ggplot2|S7|purrr|xfun|evaluate|testthat|data.table|shiny|promises|zoo,21,11.3,11.3
58,Sys.Date,true,9,vctrs|ggplot2|magrittr|pillar|S7|xfun|data.table|shiny|zoo,26,9.3,10.9
59,round,true,10,vctrs|ggplot2|dplyr|scales|jsonlite|data.table|shiny|promises|zoo|bit64,17,10.3,10.8
60,is.null,true,8,rlang|cli|ggplot2|fs|purrr|htmltools|shiny|rstudioapi,18,8.2,10.7
61,readLines,true,11,withr|utf8|rstan|curl|xfun|stringr|openssl|httr|xml2|commonmark|diffobj,27,11.3,10.6
62,as.numeric,true,10,rlang|ggplot2|isoband|tidyr|yaml|openssl|matrixStats|data.table|shiny|zoo,31,10.3,10.5
63,seq_len,true,10,RcppEigen|tibble|pillar|purrr|digest|gridExtra|checkmate|data.table|shiny|zoo,19,10.3,10.4
64,getOption,true,10,withr|tibble|callr|ps|stringi|htmltools|knitr|loo|rstudioapi|diffobj,13,10.3,10.3
65,file,true,8,rlang|withr|jsonlite|curl|ps|yaml|openssl|brio,16,8.2,9.7
