rank,package,downloads,manual_status,namespace_status,example_blocks,exported_names,excluded_package_owned_calls,features_detected
68,testthat,1027016,analyzed,analyzed,41,207,209,comparisons|logical-operators|subsetting|extraction|conditionals|return|lists|names-attributes|sequences-repetition|data-frames|matrices-arrays|factors|string-helpers|random-numbers|dates-times|namespaces|replacement
69,checkmate,960940,analyzed,analyzed,60,370,161,logical-operators|subsetting|extraction|conditionals|lists|names-attributes|sequences-repetition|formulas|data-frames|matrices-arrays|factors|apply-family|statistics|random-numbers|object-systems
70,abind,936049,analyzed,analyzed,5,5,42,subsetting|lists|names-attributes|sequences-repetition|matrices-arrays|apply-family
71,matrixStats,902396,analyzed,analyzed,24,102,125,comparisons|subsetting|extraction|loops|names-attributes|sequences-repetition|matrices-arrays|string-helpers|sorting-matching|apply-family|statistics|random-numbers|replacement
72,htmlwidgets,899885,analyzed,analyzed,4,14,6,comparisons|logical-operators|extraction|conditionals|lists|sequences-repetition|pipes|data-frames|statistics|namespaces
73,openssl,895152,analyzed,analyzed,17,79,88,comparisons|extraction|conditionals|lists|sequences-repetition|namespaces
74,numDeriv,895136,analyzed,analyzed,4,4,16,comparisons|subsetting|extraction|conditionals|sequences-repetition|matrices-arrays|statistics|random-numbers
75,loo,874541,analyzed,analyzed,20,65,87,comparisons|subsetting|extraction|conditionals|lists|names-attributes|sequences-repetition|formulas|data-frames|matrices-arrays|apply-family|statistics|random-numbers|namespaces|ellipsis
76,textshaping,867468,analyzed,analyzed,5,6,10,subsetting|extraction|matrices-arrays|random-numbers|namespaces
77,systemfonts,863947,analyzed,analyzed,21,33,46,comparisons|subsetting|extraction|lists|names-attributes|matrices-arrays|random-numbers|namespaces
78,tidyverse,855121,analyzed,analyzed,4,6,4,
79,shiny,849340,analyzed,analyzed,117,284,1155,comparisons|logical-operators|subsetting|extraction|conditionals|return|loops|lists|names-attributes|sequences-repetition|pipes|data-frames|matrices-arrays|string-helpers|apply-family|statistics|random-numbers|dates-times|namespaces|ellipsis|replacement
80,posterior,839334,analyzed,analyzed,79,140,372,comparisons|logical-operators|subsetting|extraction|conditionals|lists|names-attributes|sequences-repetition|formulas|data-frames|matrices-arrays|factors|string-helpers|statistics|random-numbers|namespaces
81,data.table,838438,analyzed,analyzed,75,137,659,comparisons|logical-operators|subsetting|extraction|conditionals|loops|lists|names-attributes|sequences-repetition|formulas|data-frames|matrices-arrays|factors|string-helpers|sorting-matching|apply-family|statistics|random-numbers|dates-times|namespaces|ellipsis|replacement|object-systems
82,distributional,835011,analyzed,analyzed,55,68,297,subsetting|extraction|conditionals|lists|names-attributes|sequences-repetition|matrices-arrays|factors|apply-family|statistics|random-numbers|namespaces
83,rprojroot,822815,analyzed,analyzed,5,37,8,extraction
